DBN,RH School,BN,CEP URL,Total Enrollment,Num Female,Num Black,Num Hispanic
02M550,n,M550,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M550.pdf,422,178,102,240
02M551,n,M551,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M551.pdf,533,185,94,214
02M560,n,M560,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M560.pdf,602,323,210,266
02M565,n,M565,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M565.pdf,147,85,50,47
02M570,n,M570,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M570.pdf,285,168,97,175
02M575,n,M575,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M575.pdf,711,314,214,302
02M580,n,M580,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M580.pdf,429,287,117,247
02M586,n,M586,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M586.pdf,63,37,13,41
02M600,n,M600,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M600.pdf,1577,1443,490,890
02M605,n,M605,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M605.pdf,245,131,53,152
02M615,n,M615,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M615.pdf,451,118,92,274
02M630,n,M630,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M630.pdf,1478,977,219,796
02M655,n,M655,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M655.pdf,425,213,109,263
02M896,n,M896,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M896.pdf,385,199,39,61
02M933,n,M933,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M933.pdf,175,79,44,100
03M009,n,M009,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M009.pdf,611,295,29,111
03M054,n,M054,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M054.pdf,867,446,69,135
03M075,n,M075,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M075.pdf,548,246,119,303
03M076,n,M076,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M076.pdf,443,236,325,102
03M084,n,M084,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M084.pdf,663,361,47,215
03M087,n,M087,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M087.pdf,898,473,28,130
03M145,n,M145,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M145.pdf,400,200,99,229
03M149,n,M149,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M149.pdf,235,111,139,71
03M163,n,M163,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M163.pdf,551,269,103,227
03M165,n,M165,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M165.pdf,426,210,58,248
03M166,n,M166,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M166.pdf,638,324,27,107
03M180,n,M180,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M180.pdf,512,251,261,144
03M185,n,M185,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M185.pdf,364,156,197,118
03M191,n,M191,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M191.pdf,565,254,171,245
03M199,n,M199,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M199.pdf,822,406,37,76
03M241,n,M241,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M241.pdf,133,61,66,48
03M242,n,M242,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M242.pdf,138,60,84,46
03M243,n,M243,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M243.pdf,241,124,25,44
03M245,n,M245,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M245.pdf,403,216,51,116
03M247,n,M247,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M247.pdf,220,115,3,210
03M250,n,M250,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M250.pdf,162,76,60,80
03M256,n,M256,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M256.pdf,153,81,74,54
03M258,n,M258,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M258.pdf,239,117,84,128
03M291,n,M291,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M291.pdf,432,240,28,82
03M299,n,M299,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M299.pdf,341,178,125,181
03M307,n,M307,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M307.pdf,407,215,131,247
03M333,n,M333,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M333.pdf,757,383,99,121
03M334,n,M334,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M334.pdf,522,250,13,47
03M402,n,M402,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M402.pdf,304,140,85,180
03M403,n,M403,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M403.pdf,414,204,108,271
03M404,n,M404,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M404.pdf,184,85,70,108
03M415,n,M415,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M415.pdf,313,214,165,128
03M417,n,M417,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M417.pdf,413,215,56,191
03M421,n,M421,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M421.pdf,204,98,107,89
03M452,n,M452,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M452.pdf,376,172,48,60
03M479,n,M479,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M479.pdf,1423,892,202,280
03M485,n,M485,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M485.pdf,2760,2104,274,470
03M492,n,M492,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M492.pdf,429,251,142,247
03M494,n,M494,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M494.pdf,492,172,156,273
03M505,n,M505,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M505.pdf,454,210,141,297
03M541,n,M541,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M541.pdf,441,257,72,135
03M859,n,M859,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M859.pdf,314,157,31,44
03M860,n,M860,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M860.pdf,362,139,223,116
03M862,n,M862,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M862.pdf,428,198,110,213
04M007,n,M007,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M007.pdf,407,185,118,253
04M012,n,M012,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M012.pdf,601,296,99,90
04M037,n,M037,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M037.pdf,259,113,101,137
04M038,n,M038,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M038.pdf,241,120,85,139
04M057,n,M057,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M057.pdf,805,400,196,549
04M072,n,M072,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M072.pdf,646,306,104,504
04M083,n,M083,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M083.pdf,414,200,77,285
